Disease Name,OrphaCode,Disease Category
Rare female infertility due to oocyte maturation defect,404469,Rare developmental defect during embryogenesis
Severe intellectual disability-progressive spastic diplegia syndrome,404473,Rare neurologic disease
Multisystemic smooth muscle dysfunction syndrome,404463,Rare circulatory system disease
Female infertility due to zona pellucida defect,404466,Rare infertility
FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome,404451,Rare developmental defect during embryogenesis
Alacrimia-choreoathetosis-liver dysfunction syndrome,404454,Rare renal disease
Tatton-Brown-Rahman syndrome,404443,Rare developmental defect during embryogenesis
ADNP syndrome,404448,Rare neurologic disease
Diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome,404437,Rare neurologic disease
Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency,404440,Rare developmental defect during embryogenesis
Genetic syndrome with limb malformations as a major feature,404577,Rare developmental defect during embryogenesis
Genetic syndrome with limb reduction defects,404574,Rare developmental defect during embryogenesis
Dysostosis of genetic origin with limb anomaly as a major feature,404571,Rare developmental defect during embryogenesis
Dysostosis of genetic origin,404568,Rare developmental defect during embryogenesis
Familial atypical multiple mole melanoma syndrome,404560,Rare neoplastic disease
Adenosine deaminase 2 deficiency,404553,Rare circulatory system disease
DITRA,404546,Rare systemic or rheumatologic disease
X-linked distal hereditary motor neuropathy,404538,Rare neurologic disease
Spinal muscular atrophy with respiratory distress type 2,404521,Rare neurologic disease
Acquired cystic disease-associated renal cell carcinoma,404514,Rare neoplastic disease
Clear cell papillary renal cell carcinoma,404511,Rare neoplastic disease
Chondromyxoid fibroma,404507,Rare bone disease
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency,404499,Rare neurologic disease
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency,404493,Rare neurologic disease
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome,404481,Rare neurologic disease
Global developmental delay-lung cysts-overgrowth-Wilms tumor syndrome,404476,Rare developmental defect during embryogenesis
Central retinal vein occlusion,411527,Rare ophthalmic disorder
Mild phosphoribosylpyrophosphate synthetase superactivity,411536,Rare inborn errors of metabolism
Severe phosphoribosylpyrophosphate synthetase superactivity,411543,Rare inborn errors of metabolism
Wolfram-like syndrome,411590,Rare developmental defect during embryogenesis
Insulin autoimmune syndrome,411593,Rare endocrine disease
Hereditary late-onset Parkinson disease,411602,Rare neurologic disease
Infantile nephropathic cystinosis,411629,Rare inborn errors of metabolism
Pontocerebellar hypoplasia type 10,411493,Rare developmental defect during embryogenesis
Williams-Campbell syndrome,411501,Rare developmental defect during embryogenesis
Angelman syndrome due to a point mutation,411511,Rare neurologic disease
Angelman syndrome due to imprinting defect in 15q11-q13,411515,Rare neurologic disease
Generalized eruptive keratoacanthoma,411777,Rare skin disease
Maternal riboflavin deficiency,411712,Rare inborn errors of metabolism
Familial isolated trichomegaly,411788,Rare skin disease
Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome,411986,Rare neurologic disease
13q12.3 microdeletion syndrome,412035,Rare developmental defect during embryogenesis
Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome,412022,Rare ophthalmic disorder
Ocular cystinosis,411641,Rare inborn errors of metabolism
Juvenile nephropathic cystinosis,411634,Rare inborn errors of metabolism
Proton-pump inhibitor-responsive esophageal eosinophilia,411696,Rare gastroenterologic disease
Renal agenesis,411709,Rare developmental defect during embryogenesis
Pulmonary non-tuberculous mycobacterial infection,411703,Rare infectious disease
Generalized isolated dystonia,376724,Rare neurologic disease
Genetic syndromic esophageal malformation,371445,Rare developmental defect during embryogenesis
Genetic hyperaldosteronism,371861,Rare endocrine disease
Congenital disorder of glycosylation with developmental anomaly,371235,Rare inborn errors of metabolism
Congenital disorder of glycosylation with nephropathy as a major feature,371207,Rare inborn errors of metabolism
Congenital disorder of glycosylation with skin involvement,371200,Rare inborn errors of metabolism
Congenital disorder of glycosylation with deafness as a major feature,371212,Rare inborn errors of metabolism
Genetic neurovascular malformation,371436,Rare developmental defect during embryogenesis
Genetic periodic paralysis,371433,Rare neurologic disease
Sphingolipidosis with epilepsy,371442,Rare neurologic disease
Multicentric osteolysis-nodulosis-arthropathy spectrum,371428,Rare systemic or rheumatologic disease
Hypotonia-speech impairment-severe cognitive delay syndrome,371364,Rare neurologic disease
Persistent combined dystonia,391711,Rare neurologic disease
Necrotizing enterocolitis,391673,Rare gastroenterologic disease
Short stature-optic atrophy-Pelger-Huët anomaly syndrome,391677,Rare developmental defect during embryogenesis
Mucinous adenocarcinoma of the appendix,391723,Rare neoplastic disease
Rare genetic dystonia,391799,Rare neurologic disease
Frontorhiny,391474,Rare bone disease
Transient neonatal myasthenia gravis,391504,Rare neurologic disease
Juvenile myasthenia gravis,391497,Rare neurologic disease
Adult-onset myasthenia gravis,391490,Rare neurologic disease
STAT1-related autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome,391487,Rare immune disease
Feingold syndrome type 2,391646,Rare developmental defect during embryogenesis
Feingold syndrome type 1,391641,Rare developmental defect during embryogenesis
Homozygous familial hypercholesterolemia,391665,Rare endocrine disease
Off-periods in Parkinson disease not responding to oral treatment,391655,Rare immune disease
Glomus tumor,391651,Rare neoplastic disease
Fatal post-viral neurodegenerative disorder,391343,Rare neurologic disease
Growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome,391348,Rare inborn errors of metabolism
SURF1-related Charcot-Marie-Tooth disease type 4,391351,Rare neurologic disease
Growth retardation-mild developmental delay-chronic hepatitis syndrome,391366,Rare developmental defect during embryogenesis
FOXP1 Syndrome,391372,Rare neurologic disease
Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome,391376,Rare neurologic disease
Disorder of asparagine metabolism,391381,Rare inborn errors of metabolism
Familial episodic pain syndrome,391384,Rare neurologic disease
Familial episodic pain syndrome with predominantly upper body involvement,391389,Rare neurologic disease
Familial episodic pain syndrome with predominantly lower limb involvement,391392,Rare neurologic disease
Hereditary sensory and autonomic neuropathy type 7,391397,Rare neurologic disease
Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome,391408,Rare neurologic disease
Atypical juvenile parkinsonism,391411,Rare neurologic disease
HSD10 disease,391417,Rare inborn errors of metabolism
"HSD10 disease, infantile type",391428,Rare inborn errors of metabolism
"HSD10 disease, neonatal type",391457,Rare inborn errors of metabolism
Severe intellectual disability-short stature-behavioral abnormalities-facial dysmorphism syndrome,391307,Rare developmental defect during embryogenesis
Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression,391316,Rare neurologic disease
Susceptibility to viral and mycobacterial infections due to STAT1 deficiency,391311,Rare immune disease
X-linked calvarial hyperostosis,391327,Rare bone disease
East Texas bleeding disorder,391320,Rare hematologic disease
X-linked osteoporosis with fractures,391330,Rare bone disease
Refractory celiac disease,398063,Rare gastroenterologic disease
Squamous cell carcinoma of the penis,398058,Rare neoplastic disease
Adenocarcinoma of the penis,398053,Rare neoplastic disease
Malignant tumor of penis,398043,Rare neoplastic disease
Intellectual disability-obesity-prognathism-eye and skin anomalies syndrome,397973,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease type 2R,397968,Rare neurologic disease
Combined immunodeficiency due to MALT1 deficiency,397964,Rare immune disease
TCR-alpha-beta-positive T-cell deficiency,397959,Rare immune disease
Microcephaly-thin corpus callosum-intellectual disability syndrome,397951,Rare neurologic disease
Autosomal spastic paraplegia type 58,397946,Rare neurologic disease
MAN1B1-CDG,397941,Rare inborn errors of metabolism
Polyglucosan body myopathy type 1,397937,Rare inborn errors of metabolism
Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome,397933,Rare neurologic disease
Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome,397927,Rare developmental defect during embryogenesis
Ferro-cerebro-cutaneous syndrome,397922,Rare neurologic disease
Combined immunodeficiency due to IKK2 deficiency,397787,Rare immune disease
T+ B+ severe combined immunodeficiency,397802,Rare immune disease
Periodic paralysis with transient compartment-like syndrome,397755,Rare neurologic disease
Retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies,397758,Rare ophthalmic disorder
Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome,397744,Rare neurologic disease
Periodic paralysis with later-onset distal motor neuropathy,397750,Rare neurologic disease
COASY protein-associated neurodegeneration,397725,Rare neurologic disease
Autosomal dominant Charcot-Marie-Tooth disease type 2U,397735,Rare neurologic disease
Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome,397709,Rare developmental defect during embryogenesis
Joubert syndrome with Jeune asphyxiating thoracic dystrophy,397715,Rare developmental defect during embryogenesis
Hereditary isolated aplastic anemia,397692,Rare hematologic disease
3q27.3 microdeletion syndrome,397695,Rare developmental defect during embryogenesis
Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome,397623,Rare bone disease
Familial hyperprolactinemia,397685,Rare endocrine disease
Obesity due to CEP19 deficiency,397615,Rare endocrine disease
Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome,397618,Rare ophthalmic disorder
Activated PI3K-delta syndrome,397596,Rare immune disease
Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency,397593,Rare inborn errors of metabolism
Macrocephaly-developmental delay syndrome,397612,Rare developmental defect during embryogenesis
PrP systemic amyloidosis,397606,Rare neurologic disease
Silver-Russell syndrome due to a point mutation,397590,Rare developmental defect during embryogenesis
Deep dermatophytosis,397587,Rare infectious disease
"Multiple acyl-CoA dehydrogenase deficiency, mild type",394532,Rare inborn errors of metabolism
"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type",394529,Rare inborn errors of metabolism
Rare female infertility due to a congenital hypogonadotropic hypogonadism,399839,Rare endocrine disease
Rare female infertility due to hypothalamic-pituitary-gonadal axis disorder,399831,Rare endocrine disease
Rare disorder with obstructive azoospermia,399824,Rare infertility
Male infertility due to sperm motility disorder,399813,Rare developmental defect during embryogenesis
Rare female infertility due to an anomaly of ovarian function,399853,Rare endocrine disease
Rare female infertility due to an adrenal disorder,399849,Rare endocrine disease
Rare disorder with female infertility due to a congenital hypogonadotropic hypogonadism,399846,Rare endocrine disease
Male infertility due to sperm disorder,399771,Rare developmental defect during embryogenesis
Male infertility due to gonadal dysgenesis or sperm disorder,399764,Rare developmental defect during embryogenesis
Rare male infertility due to testicular endocrine disorder,399685,Rare endocrine disease
Rare male infertility due to adrenal disorder,399584,Rare endocrine disease
Male infertility with teratozoospermia due to single gene mutation,399808,Rare infertility
Male infertility with azoospermia or oligozoospermia due to single gene mutation,399805,Rare infertility
Male infertility with spermatogenesis disorder due to single gene mutation,399786,Rare developmental defect during embryogenesis
Male infertility with spermatogenesis disorder,399775,Rare developmental defect during embryogenesis
Epiphysiolysis of the hip,399329,Rare bone disease
Osteochondrosis of genetic origin,399391,Rare bone disease
Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder,399572,Rare endocrine disease
Osteonecrosis of genetic origin,399380,Rare bone disease
Avascular necrosis of genetic origin,399388,Rare bone disease
Secondary non-traumatic avascular necrosis,399180,Rare bone disease
Rare hereditary disease with avascular necrosis,399185,Rare bone disease
Secondary avascular necrosis,399169,Rare bone disease
Traumatic avascular necrosis,399175,Rare bone disease
Idiopathic avascular necrosis,399307,Rare bone disease
Osteochondrosis,399319,Rare bone disease
Osteonecrosis of the jaw,399293,Rare bone disease
Primary avascular necrosis,399302,Rare bone disease
Alpha-B crystallin-related late-onset myopathy,399058,Rare neurologic disease
Malignant teratoma of ovary,398987,Rare neoplastic disease
Finnish upper limb-onset distal myopathy,399086,Rare neurologic disease
KLHL9-related early-onset distal myopathy,399081,Rare neurologic disease
Distal nebulin myopathy,399103,Rare neurologic disease
Distal anoctaminopathy,399096,Rare neurologic disease
Avascular necrosis,399164,Rare bone disease
Osteonecrosis,399158,Rare bone disease
Malignant epithelial tumor of ovary,398934,Rare neoplastic disease
Mucinous adenocarcinoma of ovary,398961,Rare neoplastic disease
Malignant non-epithelial tumor of ovary,398940,Rare neoplastic disease
Clear cell adenocarcinoma of the ovary,398971,Rare neoplastic disease
Neonatal lupus erythematosus,398124,Rare systemic or rheumatologic disease
Neonatal scleroderma,398127,Rare systemic or rheumatologic disease
Persistent idiopathic facial pain,398147,Rare neurologic disease
Oculoauriculofrontonasal syndrome,398156,Rare developmental defect during embryogenesis
Focal facial dermal dysplasia,398166,Rare skin disease
Focal facial dermal dysplasia type II,398173,Rare skin disease
Focal facial dermal dysplasia type IV,398189,Rare skin disease
Schaaf-Yang syndrome,398069,Rare developmental defect during embryogenesis
Prader-Willi-like syndrome,398073,Rare developmental defect during embryogenesis
SIM1-related Prader-Willi-like syndrome,398079,Rare developmental defect during embryogenesis
Hereditary cryohydrocytosis with normal stomatin,398088,Rare hematologic disease
Secondary neonatal autoimmune disease,398091,Rare systemic or rheumatologic disease
Neonatal antiphospholipid syndrome,398097,Rare systemic or rheumatologic disease
Neonatal autoimmune hemolytic anemia,398109,Rare systemic or rheumatologic disease
Neonatal dermatomyositis,398117,Rare systemic or rheumatologic disease
Genetic precocious puberty in female,435564,Rare endocrine disease
Rare precocious puberty in female,435561,Rare endocrine disease
Genetic precocious puberty,435554,Rare endocrine disease
Genetic larynx anomaly,435609,Rare developmental defect during embryogenesis
Genetic nose and cavum anomaly,435606,Rare developmental defect during embryogenesis
Genetic otorhinolaryngological malformation,435603,Rare developmental defect during embryogenesis
Keppen-Lubinsky syndrome,435628,Rare endocrine disease
Genetic tracheal anomaly,435612,Rare developmental defect during embryogenesis
Congenital urachal anomaly,435743,Rare developmental defect during embryogenesis
LIPE-related familial partial lipodystrophy,435660,Rare endocrine disease
CIDEC-related familial partial lipodystrophy,435651,Rare endocrine disease
3p25.3 microdeletion syndrome,435638,Rare neurologic disease
Short stature-advanced bone age-early-onset osteoarthritis syndrome,435804,Rare bone disease
Lethal neonatal spasticity-epileptic encephalopathy syndrome,435845,Rare neurologic disease
Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome,435930,Rare developmental defect during embryogenesis
Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation,435819,Rare neurologic disease
Progeroid features-hepatocellular carcinoma predisposition syndrome,435953,Rare developmental defect during embryogenesis
Chronic atrial and intestinal dysrhythmia syndrome,435988,Rare gastroenterologic disease
COG2-CDG,435934,Rare inborn errors of metabolism
X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,435938,Rare developmental defect during embryogenesis
HIDEA syndrome,436141,Rare developmental defect during embryogenesis
Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome,436144,Rare endocrine disease
Autosomal recessive intermediate Charcot-Marie-Tooth disease type D,435998,Rare neurologic disease
Contractures-developmental delay-Pierre Robin syndrome,436003,Rare developmental defect during embryogenesis
Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency,436159,Rare immune disease
Thrombomodulin-related bleeding disorder,436169,Rare hematologic disease
Periodic fever-infantile enterocolitis-autoinflammatory syndrome,436166,Rare systemic or rheumatologic disease
Microcephalic primordial dwarfism-insulin resistance syndrome,436182,Rare endocrine disease
Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome,436174,Rare endocrine disease
Retinitis pigmentosa-juvenile cataract-short stature-intellectual disability syndrome,436245,Rare ophthalmic disorder
Familial atrial tachyarrhythmia-infra-Hisian cardiac conduction disease,436242,Rare cardiac disease
Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy,436271,Rare neurologic disease
Combined immunodeficiency-enteropathy spectrum,436252,Rare developmental defect during embryogenesis
Pseudoxanthoma elasticum-like skin manifestations with retinitis pigmentosa,436274,Rare ophthalmic disorder
Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity,437552,Rare immune disease
Fatty acyl-CoA reductase 1 deficiency,438178,Rare inborn errors of metabolism
STAT3-related early-onset multisystem autoimmune disease,438159,Rare immune disease
PCNA-related progressive neurodegenerative photosensitivity syndrome,438134,Rare developmental defect during embryogenesis
Steel syndrome,438117,Rare bone disease
RARS-related autosomal recessive hypomyelinating leukodystrophy,438114,Rare neurologic disease
Ketoacidosis due to monocarboxylate transporter-1 deficiency,438075,Rare inborn errors of metabolism
Disorder of keton body transport,438072,Rare inborn errors of metabolism
Human infection by orthopoxvirus,438279,Rare infectious disease
GCGR-related hyperglucagonemia,438274,Rare abdominal surgical disease
Progressive encephalomyelitis with rigidity and myoclonus,438266,Rare neurologic disease
PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation,438216,Rare neurologic disease
PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome,438213,Rare neurologic disease
Severe autosomal recessive macrothrombocytopenia,438207,Rare hematologic disease
ALECT2 amyloidosis,439224,Rare systemic or rheumatologic disease
AApoAIV amyloidosis,439232,Rare renal disease
Early-onset myopathy-areflexia-respiratory distress-dysphagia syndrome,439212,Rare neurologic disease
KCNQ2-related epileptic encephalopathy,439218,Rare neurologic disease
Zinc-responsive necrolytic acral erythema,439196,Rare skin disease
Non-recovering obstetric brachial plexus lesion,439202,Rare neurologic disease
Placental insufficiency,439167,Rare gynecologic or obstetric disease
Pediatric arterial ischemic stroke,439175,Rare neurologic disease
Systemic polyarteritis nodosa,439762,Rare systemic or rheumatologic disease
PDE4D haploinsufficiency syndrome,439822,Rare developmental defect during embryogenesis
Secondary polyarteritis nodosa,439746,Rare systemic or rheumatologic disease
Single-organ polyarteritis nodosa,439755,Rare systemic or rheumatologic disease
Cutaneous polyarteritis nodosa,439729,Rare systemic or rheumatologic disease
Primary polyarteritis nodosa,439737,Rare systemic or rheumatologic disease
ABeta2M amyloidosis,439246,Rare systemic or rheumatologic disease
ITM2B amyloidosis,439254,Rare neurologic disease
Congenital oculomotor nerve palsy,440221,Rare ophthalmic disorder
Congenital abducens nerve palsy,440233,Rare ophthalmic disorder
Fatal congenital hypertrophic cardiomyopathy due to glycogen storage disease,439854,Rare cardiac disease
Autosomal recessive severe congenital neutropenia,439849,Rare immune disease
Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome,439897,Rare developmental defect during embryogenesis
Plastic bronchitis,439881,Rare respiratory disease
Interstitial lung disease due to ABCA3 deficiency,440402,Rare respiratory disease
Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome,440354,Rare bone disease
Interstitial lung disease due to SP-C deficiency,440392,Rare respiratory disease
Necrotizing soft tissue infection,440368,Rare infectious disease
Isolated sedoheptulokinase deficiency,440713,Rare inborn errors of metabolism
Extensive peripapillary myelinated nerve fibers,440724,Rare ophthalmic disorder
Combined hamartoma of the retina and retinal pigment epithelium,440727,Rare ophthalmic disorder
L-ferritin deficiency,440731,Rare hematologic disease
Severe early-onset pulmonary alveolar proteinosis due to MARS deficiency,440427,Rare respiratory disease
Familial colorectal cancer Type X,440437,Rare neoplastic disease
Disorders of pentose/polyol metabolism,440701,Rare inborn errors of metabolism
Ribose-5-P isomerase deficiency,440706,Rare neurologic disease
Syndromic hereditary optic neuropathy,441434,Rare ophthalmic disorder
Early-onset posterior subcapsular cataract,441447,Rare ophthalmic disorder
Early-onset lamellar cataract,441452,Rare ophthalmic disorder
Isolated agenesis of gallbladder,440987,Rare hepatic disease
Sporadic porphyria cutanea tarda,443057,Rare inborn errors of metabolism
Familial porphyria cutanea tarda,443062,Rare inborn errors of metabolism
Central serous chorioretinopathy,443079,Rare ophthalmic disorder
Baroreflex failure,443084,Rare neurologic disease
Hemicrania continua,443070,Rare neurologic disease
Charcot-Marie-Tooth disease type 2S,443073,Rare neurologic disease
Non-specific early-onset epileptic encephalopathy,442835,Rare neurologic disease
AH amyloidosis,442582,Rare systemic or rheumatologic disease
Disorder of plasmalogens biosynthesis,3276,Rare inborn errors of metabolism
X-linked erythropoietic protoporphyria,443197,Rare inborn errors of metabolism
Pyruvate carboxylase deficiency,3008,Rare inborn errors of metabolism
Classic stiff person syndrome,443192,Rare neurologic disease
Centronuclear myopathy,595,Rare neurologic disease
Spontaneous intracranial hypotension,443180,Rare neurologic disease
Postpartum psychosis,443173,Rare neurologic disease
HIV-associated cancer,443291,Rare neoplastic disease
Mitochondrial neurogastrointestinal encephalomyopathy,298,Rare inborn errors of metabolism
Chronic hiccup,396,Rare neurologic disease
Postural orthostatic tachycardia syndrome due to NET deficiency,443236,Rare neurologic disease
MODY,552,Rare endocrine disease
Non-malignant and non-cirrhotic portal vein thrombosis,854,Rare hepatic disease
Paratyphoid fever,443227,Rare infectious disease
Hyperostosis cranialis interna,443098,Rare bone disease
Hyperinsulinemic hypoglycaemia,443095,Rare endocrine disease
"46,XY difference of sexual development due to dihydrotestosterone backdoor pathway biosynthesis defect",443090,Rare developmental defect during embryogenesis
"46,XY difference of sex development due to testicular 17,20-desmolase deficiency",443087,Rare developmental defect during embryogenesis
NUT midline carcinoma,443167,Rare neoplastic disease
Brugada syndrome,130,Rare cardiac disease
Severe combined immunodeficiency due to adenosine deaminase deficiency,277,Rare immune disease
NDE1-related microhydranencephaly,443162,Rare neurologic disease
Lymphoplasmacytic lymphoma without IgM production,443159,Rare neoplastic disease
Hypothalamic adipsic hypernatraemia syndrome,443101,Rare endocrine disease
Focal stiff limb syndrome,443804,Rare neurologic disease
PGM3-CDG,443811,Rare inborn errors of metabolism
Hereditary nonpolyposis colon cancer,443909,Rare neoplastic disease
DNAJB2-related Charcot-Marie-Tooth disease type 2,443950,Rare neurologic disease
Ventriculomegaly-cystic kidney disease,443988,Rare developmental defect during embryogenesis
Autoimmune interstitial lung disease-arthritis syndrome,444092,Rare systemic or rheumatologic disease
Autosomal dominant spastic paraplegia type 73,444099,Rare neurologic disease
Hereditary amyloidosis,444116,Rare systemic or rheumatologic disease
Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome,444138,Rare skin disease
11q22.2q22.3 microdeletion syndrome,444002,Rare developmental defect during embryogenesis
Mandibulofacial dysostosis with alopecia,443995,Rare developmental defect during embryogenesis
"46,XX ovarian dysgenesis-short stature syndrome",444048,Rare developmental defect during embryogenesis
Combined oxidative phosphorylation defect type 23,444013,Rare inborn errors of metabolism
Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome,444069,Rare developmental defect during embryogenesis
20q11.2 microdeletion syndrome,444051,Rare developmental defect during embryogenesis
Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome,444077,Rare developmental defect during embryogenesis
Cerebellar-facial-dental syndrome,444072,Rare developmental defect during embryogenesis
Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome due to TPP2 deficiency,444463,Rare systemic or rheumatologic disease
Familial chylomicronemia syndrome,444490,Rare endocrine disease
Idiopathic phalangeal acro-osteolysis,444316,Rare bone disease
Combined oxidative phosphorylation defect type 24,444458,Rare inborn errors of metabolism
Limb-girdle muscular dystrophy due to POMK deficiency,445110,Rare neurologic disease
Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome,445062,Rare endocrine disease
3-methylglutaconic aciduria-neonatal cataract-neurologic involvement-congenital neutropenia syndrome,445038,Rare inborn errors of metabolism
Combined immunodeficiency due to LRBA deficiency,445018,Rare immune disease
Caudal regression-sirenomelia spectrum,444941,Rare developmental defect during embryogenesis
Pseudohypoaldosteronism,444916,Rare endocrine disease
NIK deficiency,447731,Rare immune disease
Combined immunodeficiency due to DOCK2 deficiency,447737,Rare immune disease
Aggressive periodontitis,447740,Rare immune disease
Secondary vasculitis,445197,Rare systemic or rheumatologic disease
Idiopathic dropped head syndrome,447881,Rare neurologic disease
Polymerase proofreading-related adenomatous polyposis,447877,Rare gastroenterologic disease
Tremor-ataxia-central hypomyelination syndrome,447896,Rare neurologic disease
Hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome,447893,Rare neurologic disease
Cerebral visual impairment,447788,Rare ophthalmic disorder
Biological anomaly without phenotypic characterization,447874,Rare genetic disease
Lipoyl transferase 2 deficiency,447795,Rare inborn errors of metabolism
Secondary sclerosing cholangitis,447774,Rare hepatic disease
Sclerosing cholangitis,447771,Rare hepatic disease
Mitochondrial pyruvate carrier deficiency,447784,Rare inborn errors of metabolism
Keratocystic odontogenic tumor,447777,Rare odontologic disease
Autosomal dominant spastic paraplegia type 9B,447757,Rare neurologic disease
Autosomal dominant spastic paraplegia type 9A,447753,Rare neurologic disease
IgG4-related sclerosing cholangitis,447764,Rare hepatic disease
Autosomal recessive spastic paraplegia type 9B,447760,Rare neurologic disease
PRKAR1B-related neurodegenerative dementia with intermediate filaments,412066,Rare neurologic disease
Autosomal recessive cerebellar ataxia due to STUB1 deficiency,412057,Rare neurologic disease
Epidermolysis bullosa simplex due to BP230 deficiency,412181,Rare skin disease
AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome,412069,Rare neurologic disease
Epidermolysis bullosa simplex due to exophilin 5 deficiency,412189,Rare skin disease
Dystonia-aphonia syndrome,412217,Rare neurologic disease
Primary failure of tooth eruption,412206,Rare odontologic disease
Squamous cell carcinoma of the stomach,418959,Rare neoplastic disease
"Carcinoma of esophagus, salivary gland type",418945,Rare neoplastic disease
Undifferentiated carcinoma of esophagus,418951,Rare neoplastic disease
Secondary pulmonary alveolar proteinosis,420259,Rare respiratory disease
Malan overgrowth syndrome,420179,Rare developmental defect during embryogenesis
Genetic facial cleft,414726,Rare developmental defect during embryogenesis
Bilirubin encephalopathy,415286,Rare neurologic disease
Rare genetic odontal or periodontal disorder,420755,Rare odontologic disease
Autoimmune encephalopathy with parasomnia and obstructive sleep apnea,420789,Rare neurologic disease
Cono-spondylar dysplasia,420794,Rare bone disease
Autosomal recessive severe congenital neutropenia due to CSF3R deficiency,420702,Rare immune disease
Combined oxidative phosphorylation defect type 20,420728,Rare inborn errors of metabolism
Combined oxidative phosphorylation defect type 21,420733,Rare inborn errors of metabolism
RIDDLE syndrome,420741,Rare immune disease
"Adult-onset cervical dystonia, DYT23 type",420492,Rare neurologic disease
Cranio-cervical dystonia with laryngeal and upper-limb involvement,420485,Rare neurologic disease
Visual snow syndrome,420556,Rare ophthalmic disorder
Semicircular canal dehiscence syndrome,420402,Rare otorhinolaryngologic disease
"Glycogen storage disease due to acid maltase deficiency, late-onset",420429,Rare inborn errors of metabolism
Transient myeloproliferative syndrome,420611,Rare hematologic disease
Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,420584,Rare developmental defect during embryogenesis
Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,420699,Rare immune disease
Woolly hair-palmoplantar keratoderma syndrome,420686,Rare skin disease
Temple-Baraitser syndrome,420561,Rare developmental defect during embryogenesis
Severe combined immunodeficiency due to CTPS1 deficiency,420573,Rare immune disease
Bleeding disorder due to CalDAG-GEFI deficiency,420566,Rare hematologic disease
Mucolipidosis type III alpha/beta,423461,Rare inborn errors of metabolism
Mucolipidosis type III gamma,423470,Rare inborn errors of metabolism
Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,423454,Rare developmental defect during embryogenesis
Severe congenital neutropenia due to JAGN1 deficiency,423384,Rare immune disease
Spinocerebellar ataxia type 38,423296,Rare neurologic disease
Microcephaly-short stature-intellectual disability-facial dysmorphism syndrome,423306,Rare developmental defect during embryogenesis
Cutaneous larva migrans,423717,Rare infectious disease
Rare carcinoma of stomach,423771,Rare neoplastic disease
Double outlet right ventricle with subaortic or doubly committed ventricular septal defect,423693,Rare developmental defect during embryogenesis
"Double outlet right ventricle with atrioventricular septal defect, pulmonary stenosis, heterotaxy",423712,Rare developmental defect during embryogenesis
Rare autonomic nervous system disorder,423662,Rare neurologic disease
